id,star,current,officer_id,created_at,updated_at
833,10725,true,628,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
837,1025,false,632,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
838,572,true,632,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
844,1376,true,639,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
845,14309,false,639,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
846,16581,false,639,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
847,20875,false,639,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
875,17173,false,664,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
876,6445,false,664,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
877,7121,false,665,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
878,20727,true,665,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
883,19460,false,670,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
884,8182,true,670,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
890,1225,true,675,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
891,17929,false,675,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
892,664,true,676,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
894,902,false,676,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
899,634,true,682,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
900,17321,false,682,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
901,2430,false,682,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
918,244,true,698,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
919,17175,false,698,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
920,1054,false,698,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
