id,race,count,area_id,created_at,updated_at
240,Other,141,469,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
241,Asian,185,470,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
242,Black,40846,470,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
243,Hispanic,450,470,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
244,White,557,470,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
245,Other,467,470,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
246,Asian,34,472,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
247,Black,5380,472,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
248,Hispanic,551,472,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
249,White,464,472,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
250,Other,72,472,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
251,Asian,8,473,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
252,Black,9971,473,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
253,Hispanic,4580,473,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
254,White,592,473,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
255,Other,154,473,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
256,Asian,28,474,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
257,Black,684,474,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
258,Hispanic,18992,474,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
259,White,4049,474,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
260,Other,64,474,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
261,Asian,67,475,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
262,Black,26123,475,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
263,Hispanic,1351,475,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
264,White,280,475,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
265,Other,152,475,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
266,Asian,26,476,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
267,Black,6676,476,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
268,Hispanic,278,476,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
269,White,77,476,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
270,Other,33,476,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
271,Asian,0,477,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
272,Black,566,477,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
273,Hispanic,4243,477,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
274,White,4078,477,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
275,Other,65,477,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
276,Asian,422,478,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
277,Black,1462,478,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
278,Hispanic,16618,478,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
279,White,16852,478,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
280,Other,278,478,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
281,Asian,391,479,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
282,Black,116,479,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
283,Hispanic,10126,479,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
284,White,2578,479,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
285,Other,82,479,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
286,Asian,2955,480,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
287,Black,677,480,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
288,Hispanic,37620,480,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
289,White,2844,480,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
290,Other,106,480,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
291,Asian,3136,481,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
292,Black,507,481,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
293,Hispanic,9612,481,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
294,White,2802,481,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
295,Other,279,481,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
296,Asian,11726,483,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
297,Black,951,483,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
298,Hispanic,9558,483,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
299,White,10842,483,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
300,Other,862,483,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
